Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon EC2,0,272.28,3267.36,USD,"Operating system (Linux), Quantity (10), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (100 GB), Instance type (t3a.medium)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,3340.92,40091.04,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (5 TB), Quantity (2), Instance type (db.m5.large), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (5 TB)"
My Estimate,US East (N. Virginia),,S3 Standard,0,263.17,3158.04,USD,S3 Standard storage (10 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,"DT Inbound: All other regions (15 TB per month), DT Outbound: Amazon CloudFront (15 TB per month)"
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,157.86,1894.32,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),,Data Transfer,0,1664,19968.00,USD,"DT Inbound: All other regions (15 TB per month), DT Outbound: Internet (15 TB per month), DT Intra-Region: (15 TB per month), Data transfer cost (1664)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,324.85,3898.20,USD,Number of Application Load Balancers (2)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
